*.$$A	PR: OS/2
*.PRS	Printer ReSource file for fonts  PR: WORDPERFECT FOR WINDOWS
*.PRS	procedure  PR: DBASE IV
*.PRS	ST: PLSAMP.RS  PR: HARVARD GRAPHICS
*.PRT	Printer  Configuration  PR: IRMA WORKSTATION FOR WINDOWS
*.PRT	Printer driver  PR: DR. HALO
*.PRX	Compiler Program  PR: FOXPRO
*.PS	PostScript (ASCII)
*.PSF	PostScript Printer  Font  PR: CHIWRITER
*.PSM	Symbol table  PR: TURBO PASCAL
*.PT3	Device driver  PR: HARVARD GRAPHICS 3.0
*.PT3	Template   PR: PAGEMAKER 3
*.PT4	Template   PR: PAGEMAKER 4
*.PT5	Template   PR: PAGEMAKER 5
*.PUB	Public Key Ring  PR: PRETTY GOOD PRIVACY
*.PUB	Publication  PR: VENTURA PUBLISHER
*.PW	Text file  PR: PROFESSIONAL WRITE
*.PWL	Password List
*.PX	Primer Database index  PR: PARADOX
*.PY	PYTHON script
*.PYC	Compiler PYTHON Script
*.PZD	PR: PIZAZZ PLUS
*.PZO	PR: PIZAZZ PLUS
*.QAG	Quick Access Group  PR: NORTON DESKTOP
*.QBD	Keyboard layout  PR: IRMA WORKSTATION FOR WINDOWS
*.QBE	Example Query (Query By Example)  PR: dBASE IV / QUATTRO PRO
*.QBO	Ordered Query  PR: DBASE IV
*.QEF	Query  PR: Q+E For MS EXCEL
*.QEP	PR: IRMA WORKSTATION FOR WINDOWS
*.QLB	Quick Library  PR: MS C/C++
*.QLC	ST: ATMFONTS.QLC (PostScript Help file)
*.QPR	Relational Query  PR: FOXPRO
*.QPR	driver for Printer queue  PR: OS/2
*.QPX	Ordered Query  PR: FOXPRO
*.QRS	Equation Editor  PR: WORDPERFECT FOR WINDOWS
*.QRT	QRT ray tracing Graphic
*.QRY	Query (query)  PR: DBASE IV
*.R8	raw Graphic
*.RAS	Sun Raster graphic
*.RAW	RAW RGB 24-bit Graphic
*.RBF	Data file  PR: RBASE
*.RC	Resource Compiler Script file  PR: BORLAND C++ / MS C++
*.RDX	Data file  PR: REFLEX
*.REC	Record file  PR: SPRINT
*.REC	Recorded macro  PR: MS WINDOWS
*.REF	Cross reference
*.REG	Registration data  PR: MS WINDOWS / REGEDIT
*.REM	Annotation
*.REQ	REQuest
*.RES	dBASE Resources  PR: DBASE IV
*.RES	Compiler Resources  PR: BORLAND C++ / MS C++
*.REX	REXX Program File
*.REZ	Resources
*.RF	Sun raster Graphic
*.RFT	Text file (DCA/RFT Revisable Format Text)  PR: IBM DISPLAYWRITE
*.RI	PR: LOTUS 1-2-3
*.RLB	ST: HGW.RLB  PR: HARVARD GRAPHICS FOR WINDOWS
*.RLE	Graphic (Run Length Encoded)
*.RMI	MIDI- File
*.RMK	Makefile  PR: RMAKE
*.RND	Rendering Slide  PR: AUTOCADE AUTOSHADE
*.ROL	Adlib Music  (Roland)
*.RPD	Database  PR: RAPIDFILE
*.RPT	Report
*.RR	PR: RAILROAD TYCOON
*.RSL	Resources Library  PR: PC TOOLS
*.RSP	ReSPonce (Text file and Eingaben)
*.RTF	Rich Text Format Text file
*.RTF	Windows Help file script
*.RTL	Text file
*.RUN	Script Tools - Program  PR: PC TOOLS
*.S$$	Temporary Sort file  PR: SPRINT
*.SAM	Text file (Samna)  PR: AMI PRO 2.x , 3.x
*.SAV	Backup
*.SB	Audio file
*.SBP	DML Program  PR: SUPERBASE 4
*.SC	screen driver  PR: FRAMEWORK II
*.SC3	screen driver  PR: HARVARD GRAPHICS 3.0
*.SCC	Text file
*.SCD	Graphic (SCODL Scan Conversion Object Description Language)
*.SCH	PR: MS SCHEDULE
*.SCN	Compressed Screen format
*.SCO	High Score (diverse Programs)
*.SCR	Screen Snapshot (diverse Programs)
*.SCR	Screen Saver   PR: MS WINDOWS
*.SCR	Fax  PR: FAXVIEW
*.SCR	Script
*.SCT	screen  PR: FOXPRO
*.SCT	Script Tools - Program File  PR: PC TOOLS
*.SCX	screen  PR: FOXPRO
*.SDF	System File Format
*.SEA	Compressed Archive File Macintosh
*.SEC	Compressed Archive File
*.SEC	Secret key ring  PR: PRETTY GOOD PRIVACY
*.SEQ	Animation (Atari)
*.SET	Configuration (diverse Backups)
*.SF	WPS attribute storage  ST: WP_ROOT.SF  PR: OS/2
*.SFI	Printer  Font (HP LaserJet landscape)  PR: VENTURA PUBLISHER
*.SFL	Printer  Font (HP LaserJet landscape)  PR: VENTURA PUBLISHER
*.SFP	Printer  Font (HP LaserJet portrait)  PR: VENTURA PUBLISHER
*.SFT	ScreenFont  PR: CHIWRITER
*.SGI	Graphic
*.SH	Archive File  PR: SHAR
*.SH3	presentation  PR: HARVARD GRAPHICS 3.0
*.SHB	Background file  PR: COREL SHOW
*.SHG	Hypergraphic  PR: HOTSPOT EDITOR
*.SHK	Compressed Archive File Apple II  PR: SHRINKIT
*.SHM	Shell Macro  PR: WORDPERFECT
*.SHR	Archive File  PR: SHAR
*.SHW	Presentation / Show file PR: HARVARD GRAPHICS 2.0 / COREL SHOW
*.SIK	Backup File
*.SIM	Simulation  PR: MS FLIGHT SIMULATOR
*.SIT	Compressed Archive File Macintosh  PR: STUFFIT
*.SL	S-Lang Program File
*.SLB	Slide library  PR: AUTOCAD
*.SLC	Compiler SALT Script  PR: TELIX
*.SLD	Slide  PR: AUTOCAD
*.SLK	SYLK (Symbolic Link)  PR: MULTIPLAN
*.SLT	SALT Script Application Language for Telix script source  PR: TELIX
*.SM	SMALLTALK Program File
*.SM	Text file  PR: SAMNA WORD
*.SMM	Macro  PR: AMI PRO 2.x, 3.x
*.SMP	Sample
*.SND	Sound file
*.SNG	Song (MIDI)
*.SNO	SNOBOL Program File
*.SP	Compressed Archive File  PR: SPLINT
*.SPC	Program  PR: MS PULTIPLAN
*.SPC	Temporary File  PR: WORDPERFECT FOR WINDOWS
*.SPD	Bitstream Typefaces Font  PR: HARVARD GRAPHICS 3.0
*.SPD	Postscript printer mini driver
*.SPG	Glossary  PR: SPRINT
*.SPL	Printer -Spool file  PR: MS WINDOWS
*.SPL	Printer driver  PR: SPRINT
*.SPL	Compressed Archive File  PR: SPLINT
*.SPL	SamPLe
*.SPM	ST: WP.SPM  PR: WORDPERFECT
*.SPP	Printer file  PR: SPRINT
*.SPR	Document letter  PR: SPRINT
*.SPR	Generated screen program  PR: FOXPRO
*.SPS	screen driver  PR: SPRINT
*.SPT	SPITBOL Program File
*.SPX	Compiler screen Program  PR: FOXPRO
*.SQL	SQL Data
*.SQZ	Compressed Archive File  PR: SQUEEZE
*.SRC	Sourcecode (Source)  PR: DATAFLEX and others
*.SRF	Graphic (Sun Raster File)
*.ST	SMALLTALK Program File
*.STD	State Transition Diagram Graphic  PR: PROSA
*.STF	Compressed Archive File  PR: SHRINKTOFIT
*.STF	Setup Information
*.STM	State Transition Diagram Model  PR: PROSA
*.STR	Structure list  PR: dBASE
*.STS	Project status info  PR: MS C/C++
*.STY	Template n (Style library/sheet)
*.SUN	Graphic (Sun rasterfile)
*.SUP	supplementary Dictionary file  PR: WORDPERFECT FOR WINDOWS
*.SVD	Backup file  PR: MS WORD
*.SVG	Backup file  PR: MS WORD
*.SVS	Backup file  PR: MS WORD
*.SW	Audio file (signed word)
*.SWP	Backup file  PR: SPRINT
*.SWP	Swap file  PR: DOS
*.SY3	Symbol file  PR: HARVARD GRAPHICS 3.0
*.SYD	Backup file PR: MS WINDOWS SYSEDIT.EXE
*.SYM	Symbol file  PR: HARVARD GRAPHICS /  MS WINDOWS SDK
*.SYM	Symbol table  (diverse Compiler)
*.SYN	Synonyms  PR: MS WORD 5
*.SYS	System file: Device driver, HardwareConfiguration
*.SYW	Graphic (Symbol)  PR: HARVARD GRAPHICS FOR WINDOWS
*.TAG	Query Tag Name  PR: DATAFLEX
*.TAH	Help file for Turbo Assembler  PR: BORLAND C++
*.TAR	Compressed Archive File  PR: TAR
*.TB1	Font  PR: BORLAND TURBO C
*.TB2	Font  PR: BORLAND TURBO C
*.TBK	Memo Backup  PR: dBASE IV / FOXPRO
*.TBK	Toolbook (Asymetrix ToolBook)
*.TC	Configurations file  PR: BORLAND C++ / TURBO C
*.TCH	Help file  PR: BORLAND C++ / TURBO C
*.TD	Configurations file  PR: TURBO DEBUGGER
*.TDB	Database
*.TDF	Outline Font
*.TDH	Help file Turbo Debugger  PR: BORLAND C++
*.TDK	Keyboard record  PR: TURBO DEBUGGER
*.TDS	Symbol table  PR: TURBO DEBUGGER
*.TEM	Turbo Editor Macro Language  PR: BORLAND C++
*.TEM	Template  (template)  PR: ICON AUTHOR
*.TEX	TeX Text file
*.TF	Configurations file  PR: TURBO PROFILER
*.TFA	Area file  PR: TURBO PROFILER
*.TFH	Help file Turbo Profiler  PR: BORLAND C++
*.TFS	Statistik  PR: TURBO PROFILER
*.TGA	Truevision Targa Graphic
*.THB	Graphic (Bitmap)
*.THM	Database der Graphicen  PR: MS CLIPART GALLERY
*.THS	thesaurus Dictionary file  PR: WORDPERFECT FOR WINDOWS
*.TIF	Tagged Image File Format - Bitmap Graphic
*.TMF	Tagged Font Metric file  PR: WORDPERFECT FOR WINDOWS
*.TMO	ZTG global optimizer default output file  PR: ZORTECH C++
*.TMP	temporary File
*.TMS	Script  PR: TELEMATE
*.TOC	Table Of Contents Text file (ASCII)
*.TP	Configurations file  PR: TURBO PASCAL
*.TP3	Template   PR: HARVARD GRAPHICS 3.0
*.TPH	Help file  PR: TURBO PASCAL
*.TPL	Resident units  PR: TURBO PASCAL
*.TPL	Template    PR: HARVARD GRAPHICS 2.0
*.TPP	Protected Mode Units  PR: TURBO PASCAL
*.TPU	Turbo Pascal Unit (BGI)  PR: TURBO PASCAL
*.TPW	Turbo Pascal Unit (BGI)  PR: TURBO PASCAL FOR WINDOWS
*.TRE	Directory Tree  PR: PC TOOLS
*.TRM	Terminal settings  PR: MS WINDOWS
*.TRN	Translation  PR: QUATTRO
*.TSP	Windows Telephony Service Provider
*.TST	Printer -Test file  PR: WORDPERFECT FOR WINDOWS
*.TTF	TrueType Font
*.TUT	Tutorial
*.TX8	DOS-Text
*.TXT	Text file
*.TYM	Time Stamp program PR: PAGEMAKER 4 & 5
*.UB	Audio file (unsigned byte)
*.UI	User Interface  PR: SPRINT
*.UL	uLAW Audio file
*.ULD	Uploaded files  PR: PROCOMM PLUS
*.UNX	Text file - UNIX specific Info
*.UPD	Update file  PR: dBASE
*.UPO	Compiled update file  PR: dBASE
*.USP	Printer Font US-ASCII enhanced characters  PR: PAGEMAKER
*.USR	User Database  PR: PROCOMM PLUS / TURBO C++
*.UU	Compressed Archive File ASCII  PR: UUENCODE
*.UUE	Compressed Archive File ASCII  PR: UUENCODE
*.UW	Audio file (unsigned word)
*.VAL	Value (values)  PR: dBASE
*.VAR	Variable  PR: ICON AUTHOR
*.VBX	Visual Basic eXtension  PR: VISUAL BASIC
*.VC	Spreadsheet file  PR: VISICALC
*.VCX	Spreadsheet file  PR: VISICALC
*.VEW	Viewfile  PR: CLIPPER 5
*.VGA	VGA screen driver  PR: Diverse
*.VGA	VGA screen characters  PR: Diverse
*.VGR	Graphic  PR: VENTURA PUBLISHER
*.VID	screen driver  PR: WORD
*.VID	Monitor control file  PR: MS-DOS Shell
*.VMF	font characteristics  PR: VENTURA PUBLISHER
*.VOC	Audio file
*.VSD	Drawing  PR:VISIO
*.VSS	Stencil  PR:VISIO
*.VST	Truevision Vista Graphic
*.VST	Template  PR:VISIO
*.VUE	View  PR: dBASE IV / FOXPRO
*.VW	Text file  PR: VOLKSWRITER
*.VWR	file viewer file  PR: PC TOOLS
*.VXD	Virtual Device driver
*.W	Word chart  PR: APPLAUSE
*.W30	Printer  Font (AST TurboLaser)  PR: VENTURA PUBLISHER
*.W40	Backup file from MS Windows 95
*.WAV	Waveform Audio file
*.WBF	Windows Batch File
*.WBK	Workbook  PR: WORDPERFECT FOR WINDOWS
*.WCD	Macro token list  PR: WORDPERFECT FOR WINDOWS
*.WCM	File transmission file  PR: MS WORKS
*.WCM	Macro  PR: WORDPERFECT FOR WINDOWS
*.WDB	Database  PR: MS WORKS
*.WFN	Graphics: Symbols and Fonts  PR: COREL DRAW
*.WFX	Data file  PR: WINFAX
*.WID	width table  PR: VENTURA PUBLISHER
*.WIN	Window PR: dBASE / FOXPRO
*.WK1	Spreadsheet file  PR: LOTUS 1-2-3 2.x / SYMPHONY
*.WK3	Spreadsheet file  PR: LOTUS 1-2-3 3.x
*.WKB	Document  PR: WORDPERFECT FOR WINDOWS
*.WKE	Spreadsheet file  PR: LOTUS 1-2-3 (Student version)
*.WKQ	Spreadsheet file  PR: QUATTRO PRO
*.WKS	Spreadsheet file  PR: Lotus 1-2-3 / SYMPHONY / MS Works
*.WKS	Workspace  PR: XLISP
*.WMC	Macro  PR: WORDPERFECT FOR WINDOWS
*.WMC	Text file  PR: WORDMARC
*.WMF	Vector graphic (Windows MetaFile)  PR: MS WINDOWS
*.WN	Text file  PR: WRITE NOW
*.WNF	Outline Font  PR: COREL DRAW
*.WOA	Swap file  PR: MS WINDOWS
*.WP	Text file  PR: WORDPERFECT 4.2
*.WP5	Text file  PR: WORDPERFECT 5
*.WPD	screen driver  PR: WORDPERFECT
*.WPF	Text file  PR: WORDPERFECT
*.WPG	WordPerfect Graphic Bitmap  PR: DRAWPERFECT
*.WPK	Macros  PR: WORDPERFECT FOR WINDOWS
*.WPM	Macros  PR: WORDPERFECT
*.WPS	Text document  PR: MS WORKS
*.WQ!	Compressed Spreadsheet file  PR: QUATTRO PRO
*.WQ1	Spreadsheet file  PR: QUATTRO PRO
*.WR1	Spreadsheet file  PR: SYMPHONY
*.WRD	Template   PR: CHARISMA
*.WRI	Text file  PR: WINDOWS WRITE
*.WRK	Spreadsheet file  PR: SYMPHONY 1.0
*.WRP	Compressed Archive File Amiga  PR: WARP
*.WRS	Windows Printer driver  PR: WORDPERFECT FOR WINDOWS
*.WS	Text file  PR: WORDSTAR 5.0+6.0
*.WS2	Text file  PR: WORDSTAR 2000
*.WSD	Data file  PR: WORDSTAR
*.WST	Text file  PR: WORDSTAR
*.X	LEX Program File
*.X01	Secondary index  PR: PARADOX
*.X02	Secondary index  PR: PARADOX
*.X03	Secondary index  PR: PARADOX
*.X04	Secondary index  PR: PARADOX
*.X05	Secondary index  PR: PARADOX
*.X06	Secondary index  PR: PARADOX
*.X07	Secondary index  PR: PARADOX
*.X08	Secondary index  PR: PARADOX
*.X09	Secondary index  PR: PARADOX
*.XAB	Address Book  PR: XENIX MAIL
*.XBM	Bitmap Graphic
*.XFN	Printer  Font  PR: VENTURA PUBLISHER
*.XFT	24 Pin Printer  Font  PR: CHIWRITER
*.XLA	Addin: Macro  PR: MS EXCEL
*.XLB	PR: MS EXCEL
*.XLC	Chart Diagram  PR: MS EXCEL
*.XLL	Excel Dynamic Link Library  PR: MS EXCEL
*.XLM	MacroTemplate   PR: MS EXCEL
*.XLS	Spreadsheet file  PR: MS EXCEL
*.XLT	MasterTemplate   PR: MS EXCEL
*.XLT	Translation table  PR: LOTUS 1-2-3 / SYMPHONY
*.XLW	Workspace  PR: MS EXCEL
*.XPM	Graphic
*.XQT	Macro sheet  PR: SUPERCALC
*.XRF	Cross reference
*.XY	Text file  PR: XY WRITE
*.XY3	Text file  PR: XYWRITE III
*.XYW	Text file  PR: XYWRITE III
*.Y	Compressed Archive File Amiga  PR: YABBA
*.Y01	Secondary index  PR: PARADOX
*.Y02	Secondary index  PR: PARADOX
*.Y03	Secondary index  PR: PARADOX
*.Y04	Secondary index  PR: PARADOX
*.Y05	Secondary index  PR: PARADOX
*.Y06	Secondary index  PR: PARADOX
*.Y07	Secondary index  PR: PARADOX
*.Y08	Secondary index  PR: PARADOX
*.Y09	Secondary index  PR: PARADOX
*.Z	Compressed Archive File ASCII  PR: COMPRESS
*.ZIP	Compressed Archive File  PR: PKZIP
*.ZOM	Compressed Archive File Amiga  PR: ZOOM
*.ZOO	Compressed Archive File  PR: ZOO
*.ZVD	ZyXEL Voice file  PR: Z-FAX
